objek,elevasi,terlihat,evidensi,tak_terlihat,theta_median_terlihat,luas_theta_0-15,luas_theta_15-30,luas_theta_30-45,luas_theta_45-60,luas_theta_60-75,luas_theta_75-90
obj07,0,0.81096,0.61475,0.18904,29.43068,0.26615,0.14906,0.12501,0.10425,0.10585,0.06064
obj07,10,0.84357,0.61721,0.15643,31.26789,0.23827,0.14635,0.17161,0.10726,0.08936,0.09072
obj07,20,0.81878,0.60728,0.18121,32.5489,0.11682,0.26756,0.14791,0.09984,0.15362,0.03304
obj07,30,0.77907,0.58058,0.22093,32.68664,0.09968,0.23681,0.18771,0.1129,0.10955,0.03243
obj07,40,0.73982,0.53851,0.26018,40.0,0.10597,0.11833,0.2496,0.1493,0.08736,0.02925
obj08,0,0.58269,0.50864,0.41731,0.0,0.39926,0.02802,0.04765,0.05538,0.02086,0.03152
obj08,10,0.6188,0.49179,0.3812,10.0,0.38199,0.03168,0.04505,0.04665,0.02288,0.09055
obj08,20,0.60652,0.47139,0.39348,20.0,0.02561,0.38632,0.03186,0.03404,0.09534,0.03334
obj08,30,0.58634,0.44129,0.41366,30.0,0.0327,0.33478,0.06378,0.02974,0.0933,0.03204
obj08,40,0.5541,0.39611,0.44589,40.0,0.03787,0.02794,0.34963,0.07841,0.03013,0.03012
obj09,0,0.69587,0.58445,0.30413,0.0,0.44806,0.04962,0.04462,0.05778,0.03927,0.05651
obj09,10,0.73728,0.58818,0.26272,10.0,0.44683,0.04383,0.05676,0.05135,0.05125,0.08725
obj09,20,0.73403,0.57104,0.26598,20.0,0.03309,0.45353,0.05081,0.04417,0.10969,0.04273
obj09,30,0.71049,0.53495,0.28951,30.0,0.03164,0.34877,0.14121,0.04911,0.10677,0.03299
obj09,40,0.68422,0.48723,0.31578,40.0,0.03013,0.04745,0.43899,0.08246,0.0547,0.03047
obj10,0,0.40139,0.34202,0.59861,6.19632,0.2637,0.02973,0.02823,0.02647,0.0257,0.02755
obj10,10,0.48239,0.36685,0.51761,10.0,0.27947,0.02871,0.03193,0.02422,0.02877,0.08929
obj10,20,0.50704,0.38277,0.49295,20.0,0.12733,0.1878,0.03624,0.02401,0.10176,0.02991
obj10,30,0.50962,0.38326,0.49038,30.0,0.03676,0.24766,0.06895,0.03268,0.10079,0.02278
obj10,40,0.50538,0.37178,0.49462,40.0,0.03255,0.04543,0.28087,0.10366,0.02903,0.01384
obj11,0,0.37146,0.29133,0.62854,28.98963,0.09281,0.10168,0.07949,0.04904,0.02732,0.0211
obj11,10,0.43202,0.29295,0.56798,36.71502,0.0565,0.12646,0.08115,0.04679,0.03256,0.08857
obj11,20,0.43028,0.29713,0.56971,37.42547,0.01419,0.15338,0.0932,0.04641,0.1064,0.01671
obj11,30,0.41964,0.29321,0.58035,39.37258,0.01446,0.06527,0.16688,0.05949,0.09737,0.01616
obj11,40,0.41509,0.28569,0.58491,44.77158,0.01678,0.037,0.16101,0.15724,0.02607,0.01699
obj12,0,0.33193,0.25371,0.66807,22.49993,0.13854,0.05584,0.04355,0.02394,0.02731,0.04276
obj12,10,0.3639,0.25264,0.63609,27.95331,0.1307,0.05671,0.04113,0.02667,0.02985,0.07885
obj12,20,0.3537,0.24579,0.64629,31.03585,0.00834,0.15871,0.05183,0.02864,0.07774,0.02843
obj12,30,0.33905,0.23208,0.66095,37.39549,0.00607,0.09187,0.09688,0.05236,0.06817,0.0237
obj12,40,0.31705,0.20798,0.68295,43.05546,0.00367,0.01278,0.15772,0.09496,0.02715,0.02076
obj13,0,0.26686,0.21944,0.73315,0.0,0.17753,0.01433,0.01519,0.01838,0.01029,0.03113
obj13,10,0.36667,0.23086,0.63333,32.49978,0.16583,0.01492,0.02056,0.02148,0.01741,0.12648
obj13,20,0.39524,0.25851,0.60476,31.0093,0.0149,0.18196,0.02077,0.02191,0.11208,0.04361
obj13,30,0.41532,0.28185,0.58468,30.0,0.02363,0.17769,0.03991,0.0239,0.1116,0.03858
obj13,40,0.43232,0.29527,0.56768,40.0,0.03209,0.02561,0.20764,0.10424,0.02627,0.03645
obj14,0,0.45138,0.34386,0.54861,43.34513,0.19887,0.01454,0.12199,0.04685,0.02636,0.04278
obj14,10,0.51807,0.36122,0.48192,35.00003,0.19532,0.01806,0.07404,0.11915,0.02899,0.08253
obj14,20,0.53437,0.36114,0.46563,26.9611,0.00864,0.2663,0.02582,0.01018,0.16337,0.06008
obj14,30,0.50246,0.3397,0.49754,30.0,0.03047,0.23031,0.04062,0.02625,0.15215,0.02266
obj14,40,0.45667,0.31458,0.54332,40.0,0.06931,0.02012,0.2094,0.0594,0.05277,0.04568
obj15,0,0.25775,0.20396,0.74225,27.69231,0.10349,0.0374,0.05569,0.02038,0.01908,0.02172
obj15,10,0.47099,0.2375,0.52901,77.78005,0.09694,0.04026,0.05249,0.02651,0.01799,0.2368
obj15,20,0.48938,0.27684,0.51062,70.0,0.00992,0.11887,0.061,0.03354,0.2489,0.01715
obj15,30,0.4956,0.30812,0.5044,60.0,0.0071,0.06216,0.10125,0.0636,0.24638,0.01511
obj15,40,0.49656,0.32362,0.50345,50.0,0.00605,0.00831,0.13138,0.31901,0.01764,0.01415
obj16,0,0.39735,0.33554,0.60266,21.70008,0.15927,0.09095,0.09056,0.03159,0.00282,0.02214
obj16,10,0.41943,0.33854,0.58057,26.76259,0.12861,0.10691,0.10533,0.02082,0.03101,0.02675
obj16,20,0.41397,0.32889,0.58603,29.17927,0.00081,0.2087,0.12045,0.04534,0.0328,0.00587
obj16,30,0.40486,0.30741,0.59514,36.42334,0.00161,0.0598,0.2272,0.08962,0.02022,0.0064
obj16,40,0.39442,0.27683,0.60559,43.01601,0.00458,0.01232,0.21645,0.15082,0.00458,0.00566
obj17,0,0.64892,0.61505,0.35108,0.0,0.59608,0.00631,0.00622,0.00916,0.00491,0.02623
obj17,10,0.74111,0.61905,0.25888,10.0,0.59174,0.00679,0.00813,0.00745,0.00493,0.12207
obj17,20,0.75574,0.60754,0.24427,20.0,0.00734,0.58573,0.0065,0.0066,0.10827,0.04129
obj17,30,0.75166,0.57819,0.24834,30.0,0.00666,0.52741,0.06105,0.00601,0.12459,0.02593
obj17,40,0.73907,0.52991,0.26093,40.0,0.00658,0.00725,0.57739,0.10084,0.02263,0.02438
obj18,0,0.87755,0.79164,0.12244,0.0,0.69381,0.02249,0.02062,0.05572,0.06026,0.02465
obj18,10,0.88606,0.7769,0.11393,10.0,0.68596,0.0215,0.02505,0.05748,0.05464,0.04144
obj18,20,0.87069,0.74038,0.12932,20.0,0.01917,0.68156,0.05705,0.0221,0.04741,0.0434
obj18,30,0.83783,0.6878,0.16218,30.0,0.0187,0.62782,0.10138,0.02244,0.05391,0.01358
obj18,40,0.82152,0.61841,0.17847,40.0,0.01947,0.05443,0.66407,0.04619,0.02417,0.0132
obj19,0,0.76741,0.52516,0.23258,46.87729,0.24489,0.02264,0.10539,0.13192,0.2079,0.05467
obj19,10,0.75325,0.51706,0.24675,45.9894,0.23981,0.0306,0.10038,0.14758,0.19123,0.04366
obj19,20,0.71337,0.49336,0.28663,40.0821,0.01711,0.25878,0.15709,0.07155,0.14095,0.06789
obj19,30,0.65368,0.46222,0.34631,31.61568,0.02025,0.25502,0.15985,0.07178,0.0934,0.05339
obj19,40,0.61382,0.43275,0.38617,40.0,0.02122,0.09716,0.32771,0.0479,0.08299,0.03685
obj20,0,0.33666,0.32831,0.66334,0.0,0.32105,0.00404,0.00429,0.00016,0.00014,0.00698
obj20,10,0.54467,0.34577,0.45533,10.0,0.30413,0.00405,0.00424,0.0001,6e-05,0.23209
obj20,20,0.54961,0.3599,0.45039,20.0,2e-05,0.28862,0.00419,6e-05,0.25072,0.006
obj20,30,0.52854,0.36145,0.47146,30.83834,0.0,0.23111,0.04023,0.00417,0.24788,0.00515
obj20,40,0.5134,0.35956,0.4866,40.0,0.0,1e-05,0.26792,0.24042,0.00042,0.00464
obj21,0,0.56639,0.49065,0.43361,0.0,0.48163,0.0038,0.0034,0.0022,0.00136,0.074
obj21,10,0.60739,0.49518,0.39261,10.04937,0.48119,0.00371,0.00329,0.00256,0.00114,0.11549
obj21,20,0.60323,0.47782,0.39677,20.02396,0.00042,0.47176,0.00486,0.00109,0.08214,0.04296
obj21,30,0.58559,0.44434,0.41441,30.01511,0.00035,0.22754,0.23503,0.04916,0.03535,0.03817
obj21,40,0.56503,0.39695,0.43496,40.0104,0.00031,0.00037,0.44527,0.08316,0.0028,0.03313
obj22,0,0.19401,0.16815,0.80598,1.0,0.1424,0.01095,0.00829,0.00663,0.00668,0.01906
obj22,10,0.32706,0.21431,0.67294,24.51625,0.15195,0.01871,0.0204,0.00912,0.02261,0.10426
obj22,20,0.37306,0.25387,0.62694,30.98301,0.00524,0.18041,0.0286,0.01495,0.13722,0.00663
obj22,30,0.39626,0.28237,0.60374,33.78438,0.00535,0.16776,0.05048,0.04229,0.12326,0.00712
obj22,40,0.42246,0.30002,0.57754,40.58062,0.00944,0.01738,0.22206,0.15615,0.00668,0.01074
obj23,0,0.95034,0.84428,0.04966,22.50001,0.32586,0.29638,0.29616,0.00769,0.01953,0.00473
obj23,10,0.96847,0.83303,0.03152,24.51624,0.31987,0.29926,0.30044,0.00778,0.00522,0.03592
obj23,20,0.96352,0.7968,0.03648,29.75417,6e-05,0.61637,0.29866,0.01189,0.02722,0.00932
obj23,30,0.95347,0.73771,0.04653,36.86005,6e-05,0.02082,0.61201,0.29086,0.02603,0.00369
obj23,40,0.94781,0.6559,0.05219,44.94926,0.00166,0.00754,0.61035,0.32171,0.00406,0.00248
obj24,0,0.6118,0.57521,0.3882,0.0,0.53714,0.01002,0.02031,0.01118,0.00424,0.02891
obj24,10,0.68221,0.58147,0.31779,10.0,0.53787,0.01619,0.01698,0.0094,0.00933,0.09245
obj24,20,0.68657,0.571,0.31343,20.0,0.00518,0.55042,0.01558,0.01014,0.08538,0.01987
obj24,30,0.67895,0.5412,0.32105,30.0,0.00346,0.48951,0.07164,0.01761,0.08416,0.01257
obj24,40,0.67567,0.49557,0.32433,40.0,0.00353,0.00678,0.55481,0.08796,0.01194,0.01065
obj25,0,0.40755,0.37957,0.59245,0.0,0.35798,0.00379,0.0152,0.00166,0.00115,0.02779
obj25,10,0.58953,0.40632,0.41047,10.0,0.35909,0.00991,0.00817,0.00124,0.00737,0.20375
obj25,20,0.59904,0.42556,0.40096,20.0,0.00392,0.36765,0.00402,0.00403,0.20273,0.01668
obj25,30,0.59623,0.42967,0.40377,30.0,0.00266,0.32183,0.0466,0.00856,0.20831,0.00826
obj25,40,0.59079,0.41953,0.4092,40.0,0.00051,0.0036,0.3689,0.20291,0.00784,0.00703
obj26,0,0.73928,0.64895,0.26071,0.0,0.57818,0.01904,0.02448,0.03478,0.02456,0.05824
obj26,10,0.75264,0.64181,0.24737,10.0,0.5718,0.02079,0.02763,0.02976,0.02408,0.07858
obj26,20,0.75504,0.61902,0.24496,20.0,0.02113,0.56436,0.02762,0.02477,0.06838,0.04879
obj26,30,0.73948,0.57673,0.26052,30.0,0.02186,0.45087,0.12852,0.02334,0.08661,0.02828
obj26,40,0.71181,0.51451,0.28819,40.0,0.02312,0.02617,0.5369,0.05624,0.04492,0.02446
obj27,0,0.71822,0.55529,0.28178,0.0,0.47389,0.02494,0.01968,0.01667,0.06906,0.11399
obj27,10,0.74433,0.56372,0.25567,10.0,0.48102,0.02453,0.02053,0.0168,0.06575,0.1357
obj27,20,0.75292,0.56122,0.24708,20.0,0.0329,0.4751,0.02108,0.01951,0.13114,0.07319
obj27,30,0.74207,0.54051,0.25793,30.0,0.03257,0.42098,0.07888,0.02987,0.12837,0.05139
obj27,40,0.7239,0.50192,0.2761,40.0,0.01896,0.05085,0.46633,0.08495,0.05767,0.04514
obj28,0,0.93636,0.65005,0.06364,37.53988,0.21646,0.15616,0.1568,0.15611,0.15571,0.09512
obj28,10,0.90394,0.64745,0.09606,42.53337,0.20683,0.16609,0.15552,0.15691,0.15091,0.06767
obj28,20,0.86557,0.63113,0.13443,32.548,0.16248,0.20993,0.15549,0.15685,0.15138,0.02943
obj28,30,0.80907,0.60372,0.19093,37.53986,0.15648,0.19434,0.17562,0.1549,0.07976,0.04799
obj28,40,0.74526,0.5667,0.25473,32.54801,0.15574,0.1565,0.20428,0.08677,0.0779,0.06409
obj29,0,0.38139,0.31853,0.61861,0.00016,0.22552,0.04483,0.0392,0.00792,0.02953,0.03438
obj29,10,0.38213,0.31387,0.61787,10.0,0.21477,0.0548,0.04001,0.00773,0.02932,0.03551
obj29,20,0.3759,0.29785,0.62409,20.0,9e-05,0.25259,0.04627,0.01655,0.03184,0.02857
obj29,30,0.36507,0.26989,0.63492,30.0,6e-05,0.16016,0.10837,0.04068,0.0316,0.02422
obj29,40,0.34562,0.22919,0.65438,40.0,3e-05,0.00032,0.24016,0.0557,0.02294,0.02648
obj30,0,0.57132,0.44211,0.42868,29.62508,0.16348,0.12512,0.13859,0.03669,0.06878,0.03865
obj30,10,0.58154,0.43796,0.41846,31.12238,0.14225,0.13094,0.14568,0.06073,0.04523,0.05671
obj30,20,0.57013,0.42044,0.42986,34.95558,0.02708,0.21387,0.18258,0.05128,0.03528,0.06003
obj30,30,0.5369,0.38979,0.4631,37.05819,0.01869,0.08336,0.27719,0.08209,0.04033,0.03525
obj30,40,0.51542,0.35107,0.48458,44.13594,0.01706,0.04129,0.21299,0.18903,0.0305,0.02456
